Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
lnt	WA5_RS07395	1557855	1559492	apolipoprotein N-acyltransferase	WA5_RS07400 // lnt // WA5_RS07390	WA5_RS07400 // lnt // WA5_RS07390
WA5_RS09425	WA5_RS09425	1996087	1996539	glycerate kinase	WA5_RS09425	WA5_RS09425
WA5_RS10810	WA5_RS10810	2302248	2302619	helix-turn-helix domain-containing protein	WA5_RS10810	WA5_RS10810
WA5_RS05640	WA5_RS05640	1180868	1181674	shikimate 5-dehydrogenase	WA5_RS05640 // WA5_RS05635	WA5_RS05640 // WA5_RS05635
secD	WA5_RS08265	1758799	1760712	protein translocase subunit SecD	secD // secF	secD // secF
WA5_RS07870	WA5_RS07870	1669418	1670377	glucose-6-phosphate dehydrogenase assembly protein OpcA	pgl // WA5_RS07870 // WA5_RS07865 // tal // WA5_RS07855	pgl // WA5_RS07870 // WA5_RS07865 // tal // WA5_RS07855
nrdH	WA5_RS12635	2680416	2680649	glutaredoxin-like protein NrdH	nrdH // nrdI // nrdE	nrdH // nrdI // nrdE
WA5_RS00100	WA5_RS00100	18733	19479	DsbA family protein	WA5_RS00100 // WA5_RS00095	WA5_RS00100 // WA5_RS00095
WA5_RS07400	WA5_RS07400	1559493	1560056	FxsA family protein	WA5_RS07400 // lnt // WA5_RS07390	WA5_RS07400 // lnt // WA5_RS07390
WA5_RS05645	WA5_RS05645	1181965	1183605	carboxylesterase/lipase family protein	WA5_RS05650 // WA5_RS05645	WA5_RS05650 // WA5_RS05645
eccCa	WA5_RS02900	589239	592865	type VII secretion protein EccCa	WA5_RS02905 // eccCa	WA5_RS02905 // eccCa
WA5_RS01420	WA5_RS01420	286382	287860	YhgE/Pip domain-containing protein	WA5_RS01420	WA5_RS01420
WA5_RS08220	WA5_RS08220	1747986	1749275	histidine--tRNA ligase	WA5_RS08220	WA5_RS08220
WA5_RS04095	WA5_RS04095	863392	865065	DEAD/DEAH box helicase	WA5_RS04095 // WA5_RS04090	WA5_RS04095 // WA5_RS04090
WA5_RS14500	WA5_RS14500	3099562	3100701	amidase	WA5_RS14505 // WA5_RS14500	WA5_RS14505 // WA5_RS14500
WA5_RS00790	WA5_RS00790	160470	161363	hypothetical protein	WA5_RS00790	WA5_RS00790
WA5_RS10010	WA5_RS10010	2123215	2123847	response regulator transcription factor	WA5_RS10015 // WA5_RS10010	WA5_RS10015 // WA5_RS10010
WA5_RS07405	WA5_RS07405	1560433	1561740	lipase	WA5_RS07405	WA5_RS07405
pknB	WA5_RS10815	2302761	2304983	Stk1 family PASTA domain-containing Ser/Thr kinase	WA5_RS10820 // pknB	WA5_RS10820 // pknB
WA5_RS05650	WA5_RS05650	1183606	1184259	(2Fe-2S)-binding protein	WA5_RS05650 // WA5_RS05645	WA5_RS05650 // WA5_RS05645
WA5_RS02915	WA5_RS02915	594293	594583	WXG100 family type VII secretion target	WA5_RS02915 // WA5_RS02910	WA5_RS02915 // WA5_RS02910
WA5_RS08735	WA5_RS08735	1849780	1849968	hypothetical protein	WA5_RS08735 // WA5_RS08730 // WA5_RS08725 // WA5_RS08720 // WA5_RS08715	WA5_RS08735 // WA5_RS08730 // WA5_RS08725 // WA5_RS08720 // WA5_RS08715
WA5_RS13715	WA5_RS13715	2921320	2922111	exodeoxyribonuclease III	WA5_RS13720 // WA5_RS13715 // WA5_RS13710 // WA5_RS13705	WA5_RS13720 // WA5_RS13715 // WA5_RS13710 // WA5_RS13705
rpmJ	WA5_RS12640	2681220	2681342	50S ribosomal protein L36	rpmJ	WA5_RS12640
WA5_RS00105	WA5_RS00105	19705	20076	transcriptional regulator	WA5_RS00110 // WA5_RS00105	WA5_RS00110 // WA5_RS00105
WA5_RS07410	WA5_RS07410	1561779	1562555	nitrite/sulfite reductase	WA5_RS07410	WA5_RS07410
WA5_RS02905	WA5_RS02905	592862	593764	type VII secretion-associated protein	WA5_RS02905 // eccCa	WA5_RS02905 // eccCa
WA5_RS04100	WA5_RS04100	865115	867316	helicase-associated domain-containing protein	WA5_RS04100	WA5_RS04100
WA5_RS05655	WA5_RS05655	1184354	1185157	hypothetical protein	WA5_RS05655	WA5_RS05655
cbiE	WA5_RS07415	1562521	1563801	precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE	cbiE	WA5_RS07415
WA5_RS10820	WA5_RS10820	2304983	2306221	DUF2029 domain-containing protein	WA5_RS10820 // pknB	WA5_RS10820 // pknB
WA5_RS08950	WA5_RS08950	1906660	1907913	hypothetical protein	WA5_RS08950	WA5_RS08950
yajC	WA5_RS08270	1761001	1761366	preprotein translocase subunit YajC	yajC	WA5_RS08270
nadE	WA5_RS12645	2681546	2682379	ammonia-dependent NAD(+) synthetase	nadE	WA5_RS12645
WA5_RS00110	WA5_RS00110	20073	21068	M56 family metallopeptidase	WA5_RS00110 // WA5_RS00105	WA5_RS00110 // WA5_RS00105
WA5_RS15725	WA5_RS15725	1564236	1564484	Fic family protein	WA5_RS15725	WA5_RS15725
WA5_RS02910	WA5_RS02910	593935	594261	WXG100 family type VII secretion target	WA5_RS02915 // WA5_RS02910	WA5_RS02915 // WA5_RS02910
WA5_RS01425	WA5_RS01425	287963	288829	DUF559 domain-containing protein	WA5_RS01425	WA5_RS01425
WA5_RS05660	WA5_RS05660	1185214	1185711	hypothetical protein	WA5_RS05660	WA5_RS05660
WA5_RS04105	WA5_RS04105	867382	867573	hypothetical protein	WA5_RS04105	WA5_RS04105
WA5_RS00795	WA5_RS00795	161360	162268	alpha/beta hydrolase	WA5_RS00795	WA5_RS00795
WA5_RS02020	WA5_RS02020	415643	416602	HtaA domain-containing protein	WA5_RS02025 // WA5_RS02020	WA5_RS02025 // WA5_RS02020
WA5_RS10015	WA5_RS10015	2123844	2124977	sensor histidine kinase	WA5_RS10015 // WA5_RS10010	WA5_RS10015 // WA5_RS10010
WA5_RS07420	WA5_RS07420	1564561	1565301	SDR family oxidoreductase	WA5_RS07425 // WA5_RS07420	WA5_RS07425 // WA5_RS07420
WA5_RS12650	WA5_RS12650	2682376	2683125	fructosamine kinase family protein	WA5_RS12655 // WA5_RS12650	WA5_RS12655 // WA5_RS12650
WA5_RS15930	WA5_RS15930	21071	21241	hypothetical protein	WA5_RS15930	WA5_RS15930
WA5_RS07425	WA5_RS07425	1565298	1566437	aminopeptidase P family protein	WA5_RS07425 // WA5_RS07420	WA5_RS07425 // WA5_RS07420
WA5_RS04110	WA5_RS04110	867799	868380	DUF3235 domain-containing protein	WA5_RS04110	WA5_RS04110
WA5_RS05665	WA5_RS05665	1185824	1187041	MFS transporter	WA5_RS05670 // WA5_RS05665	WA5_RS05670 // WA5_RS05665
WA5_RS09120	WA5_RS09120	1942518	1942814	hypothetical protein	WA5_RS09120	WA5_RS09120
WA5_RS02745	WA5_RS02745	558194	558517	aldehyde dehydrogenase family protein	WA5_RS02745	WA5_RS02745
WA5_RS14560	WA5_RS14560	3113619	3115397	alpha/beta-hydrolase family protein	WA5_RS14580 // WA5_RS14575 // WA5_RS14570 // WA5_RS14565 // WA5_RS14560	WA5_RS14580 // WA5_RS14575 // WA5_RS14570 // WA5_RS14565 // WA5_RS14560
WA5_RS07430	WA5_RS07430	1566467	1567108	serine protease	WA5_RS07430	WA5_RS07430
WA5_RS09435	WA5_RS09435	1996767	1997114	hypothetical protein	WA5_RS09435	WA5_RS09435
WA5_RS10830	WA5_RS10830	2307694	2309082	3-deoxy-7-phosphoheptulonate synthase class II	WA5_RS10830	WA5_RS10830
ruvB	WA5_RS08275	1761415	1762506	Holliday junction branch migration DNA helicase RuvB	ruvC // ruvA // ruvB	ruvC // ruvA // ruvB
WA5_RS00070	WA5_RS00070	14851	14927	tRNA-Ile	WA5_RS00075 // WA5_RS00070	WA5_RS00075 // WA5_RS00070
WA5_RS12655	WA5_RS12655	2683128	2683541	pyridoxamine 5'-phosphate oxidase family protein	WA5_RS12655 // WA5_RS12650	WA5_RS12655 // WA5_RS12650
WA5_RS00115	WA5_RS00115	21543	22127	bifunctional metallophosphatase/5'-nucleotidase	WA5_RS00120 // WA5_RS00115	WA5_RS00120 // WA5_RS00115
WA5_RS07435	WA5_RS07435	1567113	1569902	RNA helicase	tatA // tatC // WA5_RS07435	tatA // tatC // WA5_RS07435
WA5_RS01430	WA5_RS01430	289128	289796	response regulator transcription factor	WA5_RS01430	WA5_RS01430
WA5_RS00800	WA5_RS00800	162514	162870	RidA family protein	WA5_RS00800	WA5_RS00800
WA5_RS04115	WA5_RS04115	868937	869320	cold-shock protein	WA5_RS04115	WA5_RS04115
WA5_RS05670	WA5_RS05670	1187042	1188391	DHA2 family efflux MFS transporter permease subunit	WA5_RS05670 // WA5_RS05665	WA5_RS05670 // WA5_RS05665
WA5_RS02025	WA5_RS02025	416603	417442	HtaA domain-containing protein	WA5_RS02025 // WA5_RS02020	WA5_RS02025 // WA5_RS02020
WA5_RS10020	WA5_RS10020	2125088	2126047	ABC transporter permease	WA5_RS10025 // WA5_RS10020	WA5_RS10025 // WA5_RS10020
tatC	WA5_RS07440	1569928	1570872	twin-arginine translocase subunit TatC	tatA // tatC // WA5_RS07435	tatA // tatC // WA5_RS07435
WA5_RS10835	WA5_RS10835	2309170	2309676	polyadenylate-specific 3'-exoribonuclease AS	WA5_RS10835	WA5_RS10835
WA5_RS02930	WA5_RS02930	596109	597452	phosphoglucosamine mutase	WA5_RS02930	WA5_RS02930
WA5_RS12660	WA5_RS12660	2683624	2684646	oxidoreductase	WA5_RS12660	WA5_RS12660
WA5_RS08585	WA5_RS08585	1813779	1814519	FadR family transcriptional regulator	WA5_RS08585	WA5_RS08585
WA5_RS08885	WA5_RS08885	1887684	1888001	helicase	WA5_RS08885	WA5_RS08885
WA5_RS00120	WA5_RS00120	22164	23402	5'-nucleotidase C-terminal domain-containing protein	WA5_RS00120 // WA5_RS00115	WA5_RS00120 // WA5_RS00115
tatA	WA5_RS07445	1571064	1571381	Sec-independent protein translocase subunit TatA	tatA // tatC // WA5_RS07435	tatA // tatC // WA5_RS07435
metE	WA5_RS05675	1188384	1190621	5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase	metE	WA5_RS05675
rpsI	WA5_RS02925	595382	595930	30S ribosomal protein S9	rpsI // rplM	rpsI // rplM
WA5_RS04120	WA5_RS04120	869375	869902	DUF2771 domain-containing protein	WA5_RS04125 // WA5_RS04120	WA5_RS04125 // WA5_RS04120
WA5_RS07450	WA5_RS07450	1571502	1572485	YafY family transcriptional regulator	WA5_RS07465 // pafA // WA5_RS07455 // WA5_RS07450	WA5_RS07465 // pafA // WA5_RS07455 // WA5_RS07450
WA5_RS10840	WA5_RS10840	2309817	2312255	DUF2029 domain-containing protein	WA5_RS10840	WA5_RS10840
ruvA	WA5_RS08280	1762513	1763133	Holliday junction branch migration protein RuvA	ruvC // ruvA // ruvB	ruvC // ruvA // ruvB
WA5_RS00075	WA5_RS00075	14939	15011	tRNA-Ala	WA5_RS00075 // WA5_RS00070	WA5_RS00075 // WA5_RS00070
WA5_RS05680	WA5_RS05680	1191197	1191544	hypothetical protein	WA5_RS05680	WA5_RS05680
WA5_RS12665	WA5_RS12665	2684919	2686292	MmgE/PrpD family protein	WA5_RS12670 // WA5_RS12665	WA5_RS12670 // WA5_RS12665
WA5_RS07455	WA5_RS07455	1572488	1573462	YafY family transcriptional regulator	WA5_RS07465 // pafA // WA5_RS07455 // WA5_RS07450	WA5_RS07465 // pafA // WA5_RS07455 // WA5_RS07450
WA5_RS01435	WA5_RS01435	289774	291243	HAMP domain-containing histidine kinase	WA5_RS01440 // WA5_RS01435	WA5_RS01440 // WA5_RS01435
WA5_RS04125	WA5_RS04125	869914	870741	glutaminyl-peptide cyclotransferase	WA5_RS04125 // WA5_RS04120	WA5_RS04125 // WA5_RS04120
WA5_RS00805	WA5_RS00805	162983	163606	hypothetical protein	WA5_RS00805	WA5_RS00805
WA5_RS02030	WA5_RS02030	417542	418354	DUF2993 domain-containing protein	WA5_RS02030	WA5_RS02030
WA5_RS16110	WA5_RS16110	23612	23779	hypothetical protein	WA5_RS16110	WA5_RS16110
WA5_RS10025	WA5_RS10025	2126063	2126755	ABC transporter ATP-binding protein	WA5_RS10025 // WA5_RS10020	WA5_RS10025 // WA5_RS10020
pafA	WA5_RS07460	1573487	1574935	Pup--protein ligase	WA5_RS07465 // pafA // WA5_RS07455 // WA5_RS07450	WA5_RS07465 // pafA // WA5_RS07455 // WA5_RS07450
WA5_RS10845	WA5_RS10845	2312360	2313811	esterase family protein	WA5_RS10845	WA5_RS10845
WA5_RS05685	WA5_RS05685	1192397	1193809	NAD(P)/FAD-dependent oxidoreductase	WA5_RS05685	WA5_RS05685
WA5_RS02950	WA5_RS02950	600019	600876	alpha/beta hydrolase	WA5_RS02950	WA5_RS02950
WA5_RS12670	WA5_RS12670	2686315	2687151	phosphosulfolactate synthase	WA5_RS12670 // WA5_RS12665	WA5_RS12670 // WA5_RS12665
WA5_RS07465	WA5_RS07465	1574941	1575135	ubiquitin-like protein Pup	WA5_RS07465 // pafA // WA5_RS07455 // WA5_RS07450	WA5_RS07465 // pafA // WA5_RS07455 // WA5_RS07450
WA5_RS02935	WA5_RS02935	597892	598197	hypothetical protein	WA5_RS02945 // WA5_RS02940 // WA5_RS02935	WA5_RS02945 // WA5_RS02940 // WA5_RS02935
WA5_RS11645	WA5_RS11645	2481210	2481731	TRAP transporter small permease	dctP // WA5_RS11645 // WA5_RS11640	dctP // WA5_RS11645 // WA5_RS11640
WA5_RS04130	WA5_RS04130	870717	871418	aminotransferase class IV	WA5_RS04130	WA5_RS04130
WA5_RS09165	WA5_RS09165	1947066	1948649	LGFP repeat-containing protein	WA5_RS09165 // WA5_RS09160	WA5_RS09165 // WA5_RS09160
WA5_RS07660	WA5_RS07660	1618317	1619615	SPFH/Band 7/PHB domain protein	WA5_RS07660	WA5_RS07660
WA5_RS00140	WA5_RS00140	24295	24732	organic hydroperoxide resistance protein	WA5_RS00140	WA5_RS00140
WA5_RS07470	WA5_RS07470	1575402	1576946	proteasome accessory factor PafA2	WA5_RS07480 // arc // WA5_RS07470	WA5_RS07480 // arc // WA5_RS07470
WA5_RS10850	WA5_RS10850	2313913	2314092	hypothetical protein	WA5_RS10850	WA5_RS10850
WA5_RS09440	WA5_RS09440	1997167	1997505	hypothetical protein	WA5_RS09445 // WA5_RS09440	WA5_RS09445 // WA5_RS09440
WA5_RS05690	WA5_RS05690	1193866	1194192	hypothetical protein	WA5_RS05695 // WA5_RS05690	WA5_RS05695 // WA5_RS05690
WA5_RS16295	WA5_RS16295	2377899	2378348	helix-turn-helix transcriptional regulator	WA5_RS16295	WA5_RS16295
ruvC	WA5_RS08285	1763173	1763838	crossover junction endodeoxyribonuclease RuvC	ruvC // ruvA // ruvB	ruvC // ruvA // ruvB
WA5_RS00125	WA5_RS00125	23500	23572	tRNA-Ala	WA5_RS00125	WA5_RS00125
WA5_RS12680	WA5_RS12680	2687446	2688171	DsbA family protein	WA5_RS12680	WA5_RS12680
WA5_RS12695	WA5_RS12695	2690437	2690763	CrcB family protein	WA5_RS12700 // WA5_RS12695 // WA5_RS12690	WA5_RS12700 // WA5_RS12695 // WA5_RS12690
WA5_RS02940	WA5_RS02940	598194	599705	hypothetical protein	WA5_RS02945 // WA5_RS02940 // WA5_RS02935	WA5_RS02945 // WA5_RS02940 // WA5_RS02935
WA5_RS01440	WA5_RS01440	291270	291617	hypothetical protein	WA5_RS01440 // WA5_RS01435	WA5_RS01440 // WA5_RS01435
WA5_RS09445	WA5_RS09445	1997544	1998242	pyrimidine reductase family protein	WA5_RS09445 // WA5_RS09440	WA5_RS09445 // WA5_RS09440
WA5_RS04135	WA5_RS04135	871851	873212	NCS2 family permease	WA5_RS04140 // WA5_RS04135	WA5_RS04140 // WA5_RS04135
WA5_RS00810	WA5_RS00810	163686	165614	metalloendopeptidase	WA5_RS00810	WA5_RS00810
WA5_RS02035	WA5_RS02035	418438	419253	class I SAM-dependent methyltransferase	WA5_RS02040 // WA5_RS02035	WA5_RS02040 // WA5_RS02035
ispG	WA5_RS10030	2127346	2128527	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	ispG	WA5_RS10030
WA5_RS07480	WA5_RS07480	1578563	1579399	tRNA (adenine-N1)-methyltransferase	WA5_RS07480 // arc // WA5_RS07470	WA5_RS07480 // arc // WA5_RS07470
WA5_RS05695	WA5_RS05695	1194215	1195111	patatin-like phospholipase family protein	WA5_RS05695 // WA5_RS05690	WA5_RS05695 // WA5_RS05690
WA5_RS10855	WA5_RS10855	2314233	2315486	acyltransferase family protein	WA5_RS10855	WA5_RS10855
WA5_RS12685	WA5_RS12685	2688386	2690050	alpha-D-glucose phosphate-specific phosphoglucomutase	WA5_RS12685	WA5_RS12685
WA5_RS08740	WA5_RS08740	1850073	1850408	hypothetical protein	WA5_RS08740	WA5_RS08740
WA5_RS00145	WA5_RS00145	24882	26573	putative DNA binding domain-containing protein	WA5_RS00145	WA5_RS00145
WA5_RS07485	WA5_RS07485	1579445	1580707	M18 family aminopeptidase	WA5_RS07485	WA5_RS07485
WA5_RS02945	WA5_RS02945	599699	599935	hypothetical protein	WA5_RS02945 // WA5_RS02940 // WA5_RS02935	WA5_RS02945 // WA5_RS02940 // WA5_RS02935
WA5_RS10050	WA5_RS10050	2131821	2133401	hypothetical protein	WA5_RS10055 // WA5_RS10050	WA5_RS10055 // WA5_RS10050
WA5_RS04140	WA5_RS04140	873212	874042	RNA methyltransferase	WA5_RS04140 // WA5_RS04135	WA5_RS04140 // WA5_RS04135
WA5_RS12690	WA5_RS12690	2690150	2690440	fluoride efflux transporter family protein	WA5_RS12700 // WA5_RS12695 // WA5_RS12690	WA5_RS12700 // WA5_RS12695 // WA5_RS12690
rplO	WA5_RS02740	557565	558011	50S ribosomal protein L15	rplO // rpmD // rpsE // rplR // rplF // rpsH	rplO // rpmD // rpsE // rplR // rplF // rpsH
WA5_RS07490	WA5_RS07490	1580806	1581642	RecB family exonuclease	WA5_RS07490	WA5_RS07490
WA5_RS10860	WA5_RS10860	2315675	2316412	1-acyl-sn-glycerol-3-phosphate acyltransferase	WA5_RS10860	WA5_RS10860
WA5_RS05700	WA5_RS05700	1195121	1195915	alpha/beta hydrolase	WA5_RS05700	WA5_RS05700
WA5_RS08290	WA5_RS08290	1763986	1764741	YebC/PmpR family DNA-binding transcriptional regulator	WA5_RS08290	WA5_RS08290
ettA	WA5_RS12220	2596045	2597715	energy-dependent translational throttle protein EttA	ettA	WA5_RS12220
WA5_RS00130	WA5_RS00130	23903	23979	tRNA-Ile	WA5_RS00135 // WA5_RS00130	WA5_RS00135 // WA5_RS00130
WA5_RS00150	WA5_RS00150	26819	28099	hypothetical protein	WA5_RS00150	WA5_RS00150
WA5_RS07495	WA5_RS07495	1581856	1582116	HigA family addiction module antidote protein	WA5_RS07495	WA5_RS07495
WA5_RS04145	WA5_RS04145	874065	874937	hypothetical protein	WA5_RS04150 // WA5_RS04145	WA5_RS04150 // WA5_RS04145
WA5_RS01445	WA5_RS01445	291800	292420	DedA family protein	WA5_RS01445	WA5_RS01445
WA5_RS00815	WA5_RS00815	165717	166460	hypothetical protein	WA5_RS00820 // WA5_RS00815	WA5_RS00820 // WA5_RS00815
WA5_RS05705	WA5_RS05705	1196120	1197622	peptide synthetase	WA5_RS05705	WA5_RS05705
WA5_RS15255	WA5_RS15255	3247234	3248208	bile acid:sodium symporter	WA5_RS15255	WA5_RS15255
WA5_RS02040	WA5_RS02040	419254	419757	DUF2505 domain-containing protein	WA5_RS02040 // WA5_RS02035	WA5_RS02040 // WA5_RS02035
WA5_RS10035	WA5_RS10035	2128665	2129879	RIP metalloprotease	WA5_RS10040 // WA5_RS10035	WA5_RS10040 // WA5_RS10035
WA5_RS07500	WA5_RS07500	1582269	1583480	MFS transporter	WA5_RS07500	WA5_RS07500
WA5_RS10865	WA5_RS10865	2316579	2317550	ROK family glucokinase	WA5_RS10875 // WA5_RS10870 // WA5_RS10865	WA5_RS10875 // WA5_RS10870 // WA5_RS10865
cydC	WA5_RS05710	1197986	1199542	thiol reductant ABC exporter subunit CydC	WA5_RS05715 // cydC	WA5_RS05715 // cydC
WA5_RS00155	WA5_RS00155	28161	29117	metal ABC transporter substrate-binding protein	WA5_RS00160 // WA5_RS00155	WA5_RS00160 // WA5_RS00155
aspA	WA5_RS07505	1583909	1585489	aspartate ammonia-lyase	aspA	WA5_RS07505
WA5_RS01480	WA5_RS01480	297792	298253	RidA family protein	WA5_RS01480 // WA5_RS01475	WA5_RS01480 // WA5_RS01475
tsaE	WA5_RS02960	602080	602577	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE // WA5_RS02955	tsaE // WA5_RS02955
WA5_RS12700	WA5_RS12700	2690773	2691567	putative hydro-lyase	WA5_RS12700 // WA5_RS12695 // WA5_RS12690	WA5_RS12700 // WA5_RS12695 // WA5_RS12690
WA5_RS12950	WA5_RS12950	2744010	2744225	DUF3073 domain-containing protein	WA5_RS12950	WA5_RS12950
WA5_RS04150	WA5_RS04150	874947	875882	DUF3071 domain-containing protein	WA5_RS04150 // WA5_RS04145	WA5_RS04150 // WA5_RS04145
WA5_RS15260	WA5_RS15260	3248392	3249168	DUF1684 domain-containing protein	WA5_RS15260	WA5_RS15260
WA5_RS09140	WA5_RS09140	1944604	1945434	Cgl1822 family protein	WA5_RS09140	WA5_RS09140
glgC	WA5_RS05570	1163689	1164918	glucose-1-phosphate adenylyltransferase	glgC	WA5_RS05570
WA5_RS09505	WA5_RS09505	2009276	2009569	DUF4193 domain-containing protein	WA5_RS09505	WA5_RS09505
WA5_RS07510	WA5_RS07510	1585599	1586444	ATP phosphoribosyltransferase	WA5_RS07515 // WA5_RS07510	WA5_RS07515 // WA5_RS07510
WA5_RS10870	WA5_RS10870	2317630	2318775	glycosyltransferase family 4 protein	WA5_RS10875 // WA5_RS10870 // WA5_RS10865	WA5_RS10875 // WA5_RS10870 // WA5_RS10865
WA5_RS08590	WA5_RS08590	1814886	1815653	hypothetical protein	WA5_RS08595 // WA5_RS08590	WA5_RS08595 // WA5_RS08590
WA5_RS08295	WA5_RS08295	1765011	1765859	acyl-CoA thioesterase II	WA5_RS08295	WA5_RS08295
WA5_RS00135	WA5_RS00135	23991	24063	tRNA-Ala	WA5_RS00135 // WA5_RS00130	WA5_RS00135 // WA5_RS00130
WA5_RS05715	WA5_RS05715	1199539	1201014	ABC transporter ATP-binding protein/permease	WA5_RS05715 // cydC	WA5_RS05715 // cydC
WA5_RS00160	WA5_RS00160	29114	29965	metal ABC transporter permease	WA5_RS00160 // WA5_RS00155	WA5_RS00160 // WA5_RS00155
WA5_RS07515	WA5_RS07515	1586461	1586733	phosphoribosyl-ATP diphosphatase	WA5_RS07515 // WA5_RS07510	WA5_RS07515 // WA5_RS07510
WA5_RS01455	WA5_RS01455	292594	293502	metallophosphoesterase	WA5_RS01455	WA5_RS01455
WA5_RS12705	WA5_RS12705	2691689	2693056	IS1380-like element ISCgl4 family transposase	WA5_RS12705	WA5_RS12705
WA5_RS03330	WA5_RS03330	682867	683862	iron ABC transporter permease	WA5_RS03335 // WA5_RS03330 // WA5_RS03325 // WA5_RS03320 // WA5_RS03315	WA5_RS03335 // WA5_RS03330 // WA5_RS03325 // WA5_RS03320 // WA5_RS03315
WA5_RS00820	WA5_RS00820	166457	167422	PrsW family intramembrane metalloprotease	WA5_RS00820 // WA5_RS00815	WA5_RS00820 // WA5_RS00815
WA5_RS15265	WA5_RS15265	3249184	3249522	helix-turn-helix transcriptional regulator	WA5_RS15265	WA5_RS15265
WA5_RS02045	WA5_RS02045	419782	420888	UDP-N-acetylmuramate dehydrogenase	WA5_RS02050 // WA5_RS02045	WA5_RS02050 // WA5_RS02045
WA5_RS10040	WA5_RS10040	2129899	2131077	1-deoxy-D-xylulose-5-phosphate reductoisomerase	WA5_RS10040 // WA5_RS10035	WA5_RS10040 // WA5_RS10035
WA5_RS07520	WA5_RS07520	1586808	1587503	HAD family phosphatase	WA5_RS07520	WA5_RS07520
WA5_RS13120	WA5_RS13120	2785648	2786355	LysR family transcriptional regulator	WA5_RS13120 // WA5_RS13115	WA5_RS13120 // WA5_RS13115
WA5_RS08880	WA5_RS08880	1887404	1887592	hypothetical protein	WA5_RS08880	WA5_RS08880
WA5_RS04160	WA5_RS04160	877837	879150	citrate synthase	WA5_RS04160	WA5_RS04160
prpB	WA5_RS03285	672655	673578	methylisocitrate lyase	WA5_RS03290 // prpB // WA5_RS03280	WA5_RS03290 // prpB // WA5_RS03280
WA5_RS13725	WA5_RS13725	2923951	2925147	multidrug effflux MFS transporter	WA5_RS13725	WA5_RS13725
cydB	WA5_RS05720	1201086	1202087	cytochrome d ubiquinol oxidase subunit II	WA5_RS05725 // cydB	WA5_RS05725 // cydB
WA5_RS08890	WA5_RS08890	1888227	1889093	hypothetical protein	WA5_RS08890	WA5_RS08890
metH	WA5_RS07525	1587569	1591234	methionine synthase	metH	WA5_RS07525
WA5_RS02965	WA5_RS02965	602811	604412	transporter	WA5_RS02990 // tsaD // rimI // tsaB // WA5_RS02970 // WA5_RS02965	WA5_RS02990 // tsaD // rimI // tsaB // WA5_RS02970 // WA5_RS02965
WA5_RS12710	WA5_RS12710	2693299	2694921	LGFP repeat-containing protein	WA5_RS12710	WA5_RS12710
WA5_RS15270	WA5_RS15270	3249663	3250745	NADH:flavin oxidoreductase/NADH oxidase	WA5_RS15275 // WA5_RS15270	WA5_RS15275 // WA5_RS15270
WA5_RS05175	WA5_RS05175	1094692	1094913	hypothetical protein	WA5_RS05175 // WA5_RS05170 // WA5_RS05165	WA5_RS05175 // WA5_RS05170 // WA5_RS05165
WA5_RS07530	WA5_RS07530	1591378	1591914	hypothetical protein	WA5_RS07530	WA5_RS07530
WA5_RS10880	WA5_RS10880	2319965	2320594	C40 family peptidase	WA5_RS10880	WA5_RS10880
WA5_RS04165	WA5_RS04165	879275	879631	FKBP-type peptidyl-prolyl cis-trans isomerase	WA5_RS04165	WA5_RS04165
rrf	WA5_RS00415	81757	81873	5S ribosomal RNA	rrf	WA5_RS00415
WA5_RS05725	WA5_RS05725	1202090	1203631	cytochrome ubiquinol oxidase subunit I	WA5_RS05725 // cydB	WA5_RS05725 // cydB
WA5_RS00165	WA5_RS00165	29995	30654	metal ABC transporter ATP-binding protein	WA5_RS00165	WA5_RS00165
mutM	WA5_RS10305	2188309	2189169	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	WA5_RS10315 // WA5_RS10310 // mutM // WA5_RS10300 // WA5_RS10295	WA5_RS10315 // WA5_RS10310 // mutM // WA5_RS10300 // WA5_RS10295
WA5_RS04170	WA5_RS04170	879638	881092	acetyl-CoA carboxylase carboxyl transferase subunit alpha/beta	WA5_RS04170	WA5_RS04170
